Channel,Name,Cycle,ChannelIndex,ExposureTime,ExposureTimeUnit,Fluor,AcquisitionMode,IlluminationType,ContrastMethod,ExcitationWavelength,ExcitationWavelengthUnit,EmissionWavelength,EmissionWavelengthUnit
0,DAPI1,1,1,0,ms,DAPI,WideField,Epifluorescence,Fluorescence,,,,
1,pHH3,1,2,0,ms,AF488,WideField,Epifluorescence,Fluorescence,,,,
2,pMYC,1,3,0,ms,AF555,WideField,Epifluorescence,Fluorescence,,,,
3,Ki67,1,4,0,ms,AF648,WideField,Epifluorescence,Fluorescence,,,,
4,CD3,1,5,0,ms,AF740,WideField,Epifluorescence,Fluorescence,,,,
5,DAPI2,2,1,0,ms,DAPI,WideField,Epifluorescence,Fluorescence,,,,
6,aSMA,2,2,0,ms,AF488,WideField,Epifluorescence,Fluorescence,,,,
7,CD8,2,3,0,ms,AF555,WideField,Epifluorescence,Fluorescence,,,,
8,CD4,2,4,0,ms,AF648,WideField,Epifluorescence,Fluorescence,,,,
9,FoxP3,2,5,0,ms,AF740,WideField,Epifluorescence,Fluorescence,,,,
10,DAPI3,3,1,0,ms,DAPI,WideField,Epifluorescence,Fluorescence,,,,
11,GFAP,3,2,0,ms,AF488,WideField,Epifluorescence,Fluorescence,,,,
12,CTNNB,3,3,0,ms,AF555,WideField,Epifluorescence,Fluorescence,,,,
13,IBA1,3,4,0,ms,AF648,WideField,Epifluorescence,Fluorescence,,,,
14,LamAC,3,5,0,ms,AF740,WideField,Epifluorescence,Fluorescence,,,,
15,DAPI4,4,1,0,ms,DAPI,WideField,Epifluorescence,Fluorescence,,,,
16,LamB1,4,2,0,ms,AF488,WideField,Epifluorescence,Fluorescence,,,,
17,CD68,4,3,0,ms,AF555,WideField,Epifluorescence,Fluorescence,,,,
18,CD45,4,4,0,ms,AF648,WideField,Epifluorescence,Fluorescence,,,,
19,CD20,4,5,0,ms,AF740,WideField,Epifluorescence,Fluorescence,,,,
20,DAPI5,5,1,0,ms,DAPI,WideField,Epifluorescence,Fluorescence,,,,
21,NeuN,5,2,0,ms,AF488,WideField,Epifluorescence,Fluorescence,,,,
22,CD90,5,3,0,ms,AF555,WideField,Epifluorescence,Fluorescence,,,,
23,CD31,5,4,0,ms,AF648,WideField,Epifluorescence,Fluorescence,,,,
24,YAP1,5,5,0,ms,AF740,WideField,Epifluorescence,Fluorescence,,,,
25,DAPI6,6,1,0,ms,DAPI,WideField,Epifluorescence,Fluorescence,,,,
26,PCNA,6,2,0,ms,AF488,WideField,Epifluorescence,Fluorescence,,,,
27,TUBB3,6,3,0,ms,AF555,WideField,Epifluorescence,Fluorescence,,,,
28,CD163,6,4,0,ms,AF648,WideField,Epifluorescence,Fluorescence,,,,
29,BMP2,6,5,0,ms,AF740,WideField,Epifluorescence,Fluorescence,,,,
30,DAPI7,7,1,0,ms,DAPI,WideField,Epifluorescence,Fluorescence,,,,
31,Myelin,7,2,0,ms,AF488,WideField,Epifluorescence,Fluorescence,,,,
32,PDL1,7,3,0,ms,AF555,WideField,Epifluorescence,Fluorescence,,,,
33,p63,7,4,0,ms,AF648,WideField,Epifluorescence,Fluorescence,,,,
34,GRNZB,7,5,0,ms,AF740,WideField,Epifluorescence,Fluorescence,,,,
35,DAPI8,8,1,0,ms,DAPI,WideField,Epifluorescence,Fluorescence,,,,
36,CAV1,8,2,0,ms,AF488,WideField,Epifluorescence,Fluorescence,,,,
37,CD11c,8,3,0,ms,AF555,WideField,Epifluorescence,Fluorescence,,,,
38,PD1,8,4,0,ms,AF648,WideField,Epifluorescence,Fluorescence,,,,
39,CGA,8,5,0,ms,AF740,WideField,Epifluorescence,Fluorescence,,,,
40,DAPI9,9,1,0,ms,DAPI,WideField,Epifluorescence,Fluorescence,,,,
41,Glut1,9,2,0,ms,AF488,WideField,Epifluorescence,Fluorescence,,,,
42,CD133,9,3,0,ms,AF555,WideField,Epifluorescence,Fluorescence,,,,
43,pMYCab,9,4,0,ms,AF648,WideField,Epifluorescence,Fluorescence,,,,
44,CSF1R,9,5,0,ms,AF740,WideField,Epifluorescence,Fluorescence,,,,
45,DAPI10,10,1,0,ms,DAPI,WideField,Epifluorescence,Fluorescence,,,,
46,Vim,10,2,0,ms,AF488,WideField,Epifluorescence,Fluorescence,,,,
47,HLA-DR,10,3,0,ms,AF555,WideField,Epifluorescence,Fluorescence,,,,
48,MSH6,10,4,0,ms,AF648,WideField,Epifluorescence,Fluorescence,,,,
49,53BP1,10,5,0,ms,AF740,WideField,Epifluorescence,Fluorescence,,,,
50,DAPI11,11,1,0,ms,DAPI,WideField,Epifluorescence,Fluorescence,,,,
51,S100A,11,2,0,ms,AF488,WideField,Epifluorescence,Fluorescence,,,,
52,CD56,11,3,0,ms,AF555,WideField,Epifluorescence,Fluorescence,,,,
53,BCL2,11,4,0,ms,AF648,WideField,Epifluorescence,Fluorescence,,,,
54,Rad51,11,5,0,ms,AF740,WideField,Epifluorescence,Fluorescence,,,,
55,DAPI12,12,1,0,ms,DAPI,WideField,Epifluorescence,Fluorescence,,,,
56,panCK,12,2,0,ms,AF488,WideField,Epifluorescence,Fluorescence,,,,
57,p53,12,3,0,ms,AF555,WideField,Epifluorescence,Fluorescence,,,,
58,pRPA,12,4,0,ms,AF648,WideField,Epifluorescence,Fluorescence,,,,
